fran_id,pts,opp_fran,opp_pts,game_location,date
Trailblazers,90,Warriors,135,A,2016-12-17
Rockets,111,Timberwolves,109,A,2016-12-17
Suns,101,Thunder,114,A,2016-12-17
Kings,79,Mavericks,99,A,2016-12-18
Jazz,82,Grizzlies,73,A,2016-12-18
Celtics,105,Heat,95,A,2016-12-18
Raptors,109,Magic,79,A,2016-12-18
Nets,107,Sixers,108,A,2016-12-18
Pelicans,100,Spurs,113,A,2016-12-18
Clippers,110,Wizards,117,A,2016-12-18
Pistons,82,Bulls,113,A,2016-12-19
Mavericks,107,Nuggets,117,A,2016-12-19
Wizards,105,Pacers,107,A,2016-12-19
Suns,108,Timberwolves,115,A,2016-12-19
Hawks,110,Thunder,108,A,2016-12-19
Lakers,113,Hornets,117,A,2016-12-20
Jazz,74,Warriors,104,A,2016-12-20
Spurs,102,Rockets,100,A,2016-12-20
Nuggets,102,Clippers,119,A,2016-12-20
Celtics,112,Grizzlies,109,A,2016-12-20
Magic,136,Heat,130,A,2016-12-20
Cavaliers,114,Bucks,108,A,2016-12-20
Pacers,111,Knicks,118,A,2016-12-20
Pelicans,108,Sixers,93,A,2016-12-20
Trailblazers,121,Kings,126,A,2016-12-20
Nets,104,Raptors,116,A,2016-12-20
Timberwolves,92,Hawks,84,A,2016-12-21
Wizards,107,Bulls,97,A,2016-12-21
Bucks,102,Cavaliers,113,A,2016-12-21
Grizzlies,98,Pistons,86,A,2016-12-21
Thunder,121,Pelicans,110,A,2016-12-21
Rockets,125,Suns,111,A,2016-12-21
Mavericks,96,Trailblazers,95,A,2016-12-21
Kings,94,Jazz,93,A,2016-12-21
Warriors,117,Nets,101,A,2016-12-22
Celtics,109,Pacers,102,A,2016-12-22
Spurs,101,Clippers,106,A,2016-12-22
Lakers,107,Heat,115,A,2016-12-22
Magic,95,Knicks,106,A,2016-12-22
Thunder,117,Celtics,112,A,2016-12-23
Bulls,91,Hornets,103,A,2016-12-23
Nets,99,Cavaliers,119,A,2016-12-23
Hawks,109,Nuggets,108,A,2016-12-23
Warriors,119,Pistons,113,A,2016-12-23
Mavericks,90,Clippers,88,A,2016-12-23
Rockets,109,Grizzlies,115,A,2016-12-23
Wizards,96,Bucks,123,A,2016-12-23
Kings,109,Timberwolves,105,A,2016-12-23
Heat,87,Pelicans,91,A,2016-12-23
Lakers,90,Magic,109,A,2016-12-23
Sixers,116,Suns,123,A,2016-12-23
Spurs,110,Trailblazers,90,A,2016-12-23
Raptors,104,Jazz,98,A,2016-12-23
Warriors,108,Cavaliers,109,A,2016-12-25
Clippers,102,Lakers,111,A,2016-12-25
Celtics,119,Knicks,114,A,2016-12-25
Timberwolves,100,Thunder,112,A,2016-12-25
Bulls,100,Spurs,119,A,2016-12-25
Hornets,118,Nets,120,A,2016-12-26
Pacers,85,Bulls,90,A,2016-12-26
Cavaliers,90,Pistons,106,A,2016-12-26
Suns,115,Rockets,131,A,2016-12-26
Nuggets,106,Clippers,102,A,2016-12-26
Hawks,90,Timberwolves,104,A,2016-12-26
Mavericks,104,Pelicans,111,A,2016-12-26
Grizzlies,102,Magic,112,A,2016-12-26
Raptors,95,Trailblazers,91,A,2016-12-26
Sixers,100,Kings,102,A,2016-12-26
Bucks,102,Wizards,107,A,2016-12-26
Grizzlies,103,Celtics,113,A,2016-12-27
Rockets,123,Mavericks,107,A,2016-12-27
Jazz,102,Lakers,100,A,2016-12-27
Thunder,106,Heat,94,A,2016-12-27
Knicks,98,Hawks,102,A,2016-12-28
Nets,99,Bulls,101,A,2016-12-28
Timberwolves,103,Nuggets,105,A,2016-12-28
Bucks,119,Pistons,94,A,2016-12-28
Raptors,111,Warriors,121,A,2016-12-28
Clippers,98,Pelicans,102,A,2016-12-28
Hornets,120,Magic,101,A,2016-12-28
Kings,89,Trailblazers,102,A,2016-12-28
Suns,98,Spurs,119,A,2016-12-28
Pacers,105,Wizards,111,A,2016-12-28
Heat,82,Hornets,91,A,2016-12-29
Celtics,118,Cavaliers,124,A,2016-12-29
Mavericks,101,Lakers,89,A,2016-12-29
Thunder,80,Grizzlies,114,A,2016-12-29
Raptors,91,Suns,99,A,2016-12-29
Sixers,83,Jazz,100,A,2016-12-29
Pistons,98,Hawks,105,A,2016-12-30
Heat,114,Celtics,117,A,2016-12-30
Sixers,124,Nuggets,122,A,2016-12-30
Mavericks,99,Warriors,108,A,2016-12-30
Clippers,116,Rockets,140,A,2016-12-30
Bulls,101,Pacers,111,A,2016-12-30
Bucks,99,Timberwolves,116,A,2016-12-30
Knicks,92,Pelicans,104,A,2016-12-30
Trailblazers,94,Spurs,110,A,2016-12-30
Nets,95,Wizards,118,A,2016-12-30
Bucks,116,Bulls,96,A,2016-12-31
Cavaliers,121,Hornets,109,A,2016-12-31
Knicks,122,Rockets,129,A,2016-12-31
Clippers,88,Thunder,114,A,2016-12-31
Grizzlies,112,Kings,98,A,2016-12-31
Suns,86,Jazz,91,A,2016-12-31
Spurs,112,Hawks,114,A,2017-01-01
Magic,104,Pacers,117,A,2017-01-01
Raptors,123,Lakers,114,A,2017-01-01
Pistons,107,Heat,98,A,2017-01-01
Trailblazers,95,Timberwolves,89,A,2017-01-01
Jazz,101,Nets,89,A,2017-01-02
Hornets,111,Bulls,118,A,2017-01-02
Pelicans,82,Cavaliers,90,A,2017-01-02
Nuggets,119,Warriors,127,A,2017-01-02
Wizards,91,Rockets,101,A,2017-01-02
Suns,98,Clippers,109,A,2017-01-02
Thunder,94,Bucks,98,A,2017-01-02
Magic,115,Knicks,103,A,2017-01-02
Jazz,104,Celtics,115,A,2017-01-03
Wizards,105,Mavericks,113,A,2017-01-03
Kings,120,Nuggets,113,A,2017-01-03
Pacers,121,Pistons,116,A,2017-01-03
Grizzlies,102,Lakers,116,A,2017-01-03
Timberwolves,91,Sixers,93,A,2017-01-03
Heat,90,Suns,99,A,2017-01-03
Raptors,82,Spurs,110,A,2017-01-03
Thunder,112,Hornets,123,A,2017-01-04
Bulls,106,Cavaliers,94,A,2017-01-04
Trailblazers,117,Warriors,125,A,2017-01-04
Grizzlies,106,Clippers,115,A,2017-01-04
Bucks,105,Knicks,104,A,2017-01-04
Hawks,111,Magic,92,A,2017-01-04
Heat,107,Kings,102,A,2017-01-04
Suns,102,Mavericks,95,A,2017-01-05
Spurs,127,Nuggets,99,A,2017-01-05
Hornets,114,Pistons,115,A,2017-01-05
Thunder,116,Rockets,118,A,2017-01-05
Nets,109,Pacers,121,A,2017-01-05
Hawks,99,Pelicans,94,A,2017-01-05
Lakers,109,Trailblazers,118,A,2017-01-05
Jazz,93,Raptors,101,A,2017-01-05
Sixers,106,Celtics,110,A,2017-01-06
Cavaliers,116,Nets,108,A,2017-01-06
Grizzlies,128,Warriors,119,A,2017-01-06
Heat,100,Lakers,127,A,2017-01-06
Knicks,116,Bucks,111,A,2017-01-06
Rockets,100,Magic,93,A,2017-01-06
Clippers,106,Kings,98,A,2017-01-06
Timberwolves,105,Wizards,112,A,2017-01-06
Pelicans,108,Celtics,117,A,2017-01-07
Raptors,118,Bulls,123,A,2017-01-07
Hawks,97,Mavericks,82,A,2017-01-07
Knicks,109,Pacers,123,A,2017-01-07
Jazz,94,Timberwolves,92,A,2017-01-07
Nuggets,106,Thunder,121,A,2017-01-07
Hornets,85,Spurs,102,A,2017-01-07
Sixers,105,Nets,95,A,2017-01-08
Heat,86,Clippers,98,A,2017-01-08
Magic,95,Lakers,111,A,2017-01-08
Jazz,79,Grizzlies,88,A,2017-01-08
Wizards,107,Bucks,101,A,2017-01-08
Cavaliers,120,Suns,116,A,2017-01-08
Pistons,125,Trailblazers,124,A,2017-01-08
Warriors,117,Kings,106,A,2017-01-08
Rockets,129,Raptors,122,A,2017-01-08
Thunder,109,Bulls,94,A,2017-01-09
Mavericks,92,Timberwolves,101,A,2017-01-09
Pelicans,110,Knicks,96,A,2017-01-09
Hawks,117,Nets,97,A,2017-01-10
Heat,95,Warriors,107,A,2017-01-10
Hornets,114,Rockets,121,A,2017-01-10
Trailblazers,108,Lakers,87,A,2017-01-10
Pistons,94,Kings,100,A,2017-01-10
