Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Sat, Nov 21, 2015",7:00 pm,Milwaukee Bucks,86,Indiana Pacers,123
"Sat, Nov 21, 2015",8:00 pm,Philadelphia 76ers,91,Miami Heat,96
"Sat, Nov 21, 2015",5:00 pm,Sacramento Kings,97,Orlando Magic,91
"Sat, Nov 21, 2015",8:30 pm,Memphis Grizzlies,82,San Antonio Spurs,92
"Sun, Nov 22, 2015",6:00 pm,Boston Celtics,101,Brooklyn Nets,111
"Sun, Nov 22, 2015",8:00 pm,Golden State Warriors,118,Denver Nuggets,105
"Sun, Nov 22, 2015",3:30 pm,Toronto Raptors,91,Los Angeles Clippers,80
"Sun, Nov 22, 2015",9:30 pm,Portland Trail Blazers,107,Los Angeles Lakers,93
"Sun, Nov 22, 2015",6:00 pm,Phoenix Suns,116,New Orleans Pelicans,122
"Sun, Nov 22, 2015",7:00 pm,Dallas Mavericks,114,Oklahoma City Thunder,117
"Mon, Nov 23, 2015",7:00 pm,Sacramento Kings,122,Charlotte Hornets,127
"Mon, Nov 23, 2015",7:00 pm,Orlando Magic,103,Cleveland Cavaliers,117
"Mon, Nov 23, 2015",7:30 pm,New York Knicks,78,Miami Heat,95
"Mon, Nov 23, 2015",8:00 pm,Detroit Pistons,88,Milwaukee Bucks,109
"Mon, Nov 23, 2015",8:00 pm,Philadelphia 76ers,95,Minnesota Timberwolves,100
"Mon, Nov 23, 2015",8:30 pm,Phoenix Suns,84,San Antonio Spurs,98
"Mon, Nov 23, 2015",9:00 pm,Oklahoma City Thunder,111,Utah Jazz,89
"Tue, Nov 24, 2015",8:00 pm,Boston Celtics,97,Atlanta Hawks,121
"Tue, Nov 24, 2015",9:00 pm,Los Angeles Clippers,111,Denver Nuggets,94
"Tue, Nov 24, 2015",10:30 pm,Los Angeles Lakers,77,Golden State Warriors,111
"Tue, Nov 24, 2015",8:00 pm,Dallas Mavericks,96,Memphis Grizzlies,110
"Tue, Nov 24, 2015",10:00 pm,Chicago Bulls,93,Portland Trail Blazers,88
"Tue, Nov 24, 2015",7:00 pm,Indiana Pacers,123,Washington Wizards,106
"Wed, Nov 25, 2015",7:30 pm,Philadelphia 76ers,80,Boston Celtics,84
"Wed, Nov 25, 2015",7:00 pm,Washington Wizards,87,Charlotte Hornets,101
"Wed, Nov 25, 2015",7:30 pm,Miami Heat,81,Detroit Pistons,104
"Wed, Nov 25, 2015",8:00 pm,Memphis Grizzlies,102,Houston Rockets,93
"Wed, Nov 25, 2015",10:30 pm,Utah Jazz,102,Los Angeles Clippers,91
"Wed, Nov 25, 2015",8:00 pm,Sacramento Kings,129,Milwaukee Bucks,118
"Wed, Nov 25, 2015",8:00 pm,Atlanta Hawks,95,Minnesota Timberwolves,99
"Wed, Nov 25, 2015",8:00 pm,Brooklyn Nets,99,Oklahoma City Thunder,110
"Wed, Nov 25, 2015",7:00 pm,New York Knicks,91,Orlando Magic,100
"Wed, Nov 25, 2015",9:00 pm,New Orleans Pelicans,120,Phoenix Suns,114
"Wed, Nov 25, 2015",8:30 pm,Dallas Mavericks,83,San Antonio Spurs,88
"Wed, Nov 25, 2015",7:30 pm,Cleveland Cavaliers,99,Toronto Raptors,103
"Fri, Nov 27, 2015",7:30 pm,Washington Wizards,78,Boston Celtics,111
"Fri, Nov 27, 2015",7:00 pm,Cleveland Cavaliers,95,Charlotte Hornets,90
"Fri, Nov 27, 2015",9:00 pm,San Antonio Spurs,91,Denver Nuggets,80
"Fri, Nov 27, 2015",8:00 pm,Philadelphia 76ers,114,Houston Rockets,116
"Fri, Nov 27, 2015",8:00 pm,Chicago Bulls,92,Indiana Pacers,104
"Fri, Nov 27, 2015",10:30 pm,New Orleans Pelicans,90,Los Angeles Clippers,111
"Fri, Nov 27, 2015",8:00 pm,Atlanta Hawks,116,Memphis Grizzlies,101
"Fri, Nov 27, 2015",7:30 pm,Miami Heat,97,New York Knicks,78
"Fri, Nov 27, 2015",8:00 pm,Detroit Pistons,87,Oklahoma City Thunder,103
"Fri, Nov 27, 2015",7:00 pm,Milwaukee Bucks,90,Orlando Magic,114
"Fri, Nov 27, 2015",9:30 pm,Golden State Warriors,135,Phoenix Suns,116
"Fri, Nov 27, 2015",10:00 pm,Minnesota Timberwolves,101,Sacramento Kings,91
"Sat, Nov 28, 2015",7:30 pm,Brooklyn Nets,88,Cleveland Cavaliers,90
"Sat, Nov 28, 2015",8:30 pm,Denver Nuggets,81,Dallas Mavericks,92
"Sat, Nov 28, 2015",10:30 pm,Sacramento Kings,101,Golden State Warriors,120
"Sat, Nov 28, 2015",10:00 pm,Los Angeles Lakers,96,Portland Trail Blazers,108
"Sat, Nov 28, 2015",8:30 pm,Atlanta Hawks,88,San Antonio Spurs,108
"Sat, Nov 28, 2015",9:00 pm,New Orleans Pelicans,87,Utah Jazz,101
"Sat, Nov 28, 2015",7:00 pm,Toronto Raptors,84,Washington Wizards,82
"Sun, Nov 29, 2015",6:00 pm,Detroit Pistons,83,Brooklyn Nets,87
"Sun, Nov 29, 2015",2:00 pm,Milwaukee Bucks,82,Charlotte Hornets,87
"Sun, Nov 29, 2015",3:30 pm,Minnesota Timberwolves,99,Los Angeles Clippers,107
"Sun, Nov 29, 2015",9:30 pm,Indiana Pacers,107,Los Angeles Lakers,103
"Sun, Nov 29, 2015",6:00 pm,Philadelphia 76ers,84,Memphis Grizzlies,92
"Sun, Nov 29, 2015",7:30 pm,Houston Rockets,116,New York Knicks,111
"Sun, Nov 29, 2015",6:00 pm,Boston Celtics,91,Orlando Magic,110
"Sun, Nov 29, 2015",6:00 pm,Phoenix Suns,107,Toronto Raptors,102
"Mon, Nov 30, 2015",8:00 pm,Oklahoma City Thunder,100,Atlanta Hawks,106
"Mon, Nov 30, 2015",8:00 pm,San Antonio Spurs,89,Chicago Bulls,92
"Mon, Nov 30, 2015",7:30 pm,Houston Rockets,105,Detroit Pistons,116
"Mon, Nov 30, 2015",10:30 pm,Portland Trail Blazers,87,Los Angeles Clippers,102
"Mon, Nov 30, 2015",7:30 pm,Boston Celtics,105,Miami Heat,95
"Mon, Nov 30, 2015",8:00 pm,Denver Nuggets,74,Milwaukee Bucks,92
"Mon, Nov 30, 2015",10:00 pm,Dallas Mavericks,98,Sacramento Kings,112
"Mon, Nov 30, 2015",9:00 pm,Golden State Warriors,106,Utah Jazz,103
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Tue, Dec 1, 2015",7:30 pm,Phoenix Suns,91,Brooklyn Nets,94
"Tue, Dec 1, 2015",7:00 pm,Washington Wizards,97,Cleveland Cavaliers,85
"Tue, Dec 1, 2015",8:00 pm,Orlando Magic,96,Minnesota Timberwolves,93
"Tue, Dec 1, 2015",8:00 pm,Memphis Grizzlies,113,New Orleans Pelicans,104
"Tue, Dec 1, 2015",7:00 pm,Los Angeles Lakers,91,Philadelphia 76ers,103
"Tue, Dec 1, 2015",10:00 pm,Dallas Mavericks,115,Portland Trail Blazers,112
"Wed, Dec 2, 2015",8:00 pm,Toronto Raptors,96,Atlanta Hawks,86
"Wed, Dec 2, 2015",8:00 pm,Denver Nuggets,90,Chicago Bulls,99
"Wed, Dec 2, 2015",7:00 pm,Golden State Warriors,116,Charlotte Hornets,99
"Wed, Dec 2, 2015",7:30 pm,Phoenix Suns,122,Detroit Pistons,127
"Wed, Dec 2, 2015",8:00 pm,New Orleans Pelicans,101,Houston Rockets,108
"Wed, Dec 2, 2015",10:30 pm,Indiana Pacers,103,Los Angeles Clippers,91
"Wed, Dec 2, 2015",7:30 pm,Philadelphia 76ers,87,New York Knicks,99
"Wed, Dec 2, 2015",8:30 pm,Milwaukee Bucks,70,San Antonio Spurs,95
"Wed, Dec 2, 2015",7:00 pm,Los Angeles Lakers,108,Washington Wizards,104
"Thu, Dec 3, 2015",9:30 pm,San Antonio Spurs,103,Memphis Grizzlies,83
"Thu, Dec 3, 2015",7:00 pm,Oklahoma City Thunder,95,Miami Heat,97
"Thu, Dec 3, 2015",10:00 pm,Indiana Pacers,111,Portland Trail Blazers,123
"Thu, Dec 3, 2015",10:00 pm,Boston Celtics,114,Sacramento Kings,97
