Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Wed, Nov 9, 2016",10:30 pm,Portland Trail Blazers,80,Los Angeles Clippers,111
"Wed, Nov 9, 2016",7:00 pm,Brooklyn Nets,96,New York Knicks,110
"Wed, Nov 9, 2016",8:00 pm,Toronto Raptors,112,Oklahoma City Thunder,102
"Wed, Nov 9, 2016",7:00 pm,Minnesota Timberwolves,123,Orlando Magic,107
"Wed, Nov 9, 2016",9:00 pm,Detroit Pistons,100,Phoenix Suns,107
"Wed, Nov 9, 2016",9:30 pm,Houston Rockets,101,San Antonio Spurs,99
"Wed, Nov 9, 2016",7:00 pm,Boston Celtics,93,Washington Wizards,118
"Thu, Nov 10, 2016",9:00 pm,Golden State Warriors,125,Denver Nuggets,101
"Thu, Nov 10, 2016",8:00 pm,Chicago Bulls,98,Miami Heat,95
"Thu, Nov 10, 2016",8:00 pm,New Orleans Pelicans,112,Milwaukee Bucks,106
"Thu, Nov 10, 2016",10:30 pm,Los Angeles Lakers,101,Sacramento Kings,91
"Fri, Nov 11, 2016",7:30 pm,New York Knicks,87,Boston Celtics,115
"Fri, Nov 11, 2016",7:00 pm,Toronto Raptors,113,Charlotte Hornets,111
"Fri, Nov 11, 2016",8:00 pm,Los Angeles Clippers,110,Oklahoma City Thunder,108
"Fri, Nov 11, 2016",7:00 pm,Utah Jazz,87,Orlando Magic,74
"Fri, Nov 11, 2016",7:00 pm,Indiana Pacers,105,Philadelphia 76ers,109
"Fri, Nov 11, 2016",10:00 pm,Sacramento Kings,120,Portland Trail Blazers,122
"Fri, Nov 11, 2016",8:30 pm,Detroit Pistons,86,San Antonio Spurs,96
"Fri, Nov 11, 2016",7:00 pm,Cleveland Cavaliers,105,Washington Wizards,94
"Sat, Nov 12, 2016",7:30 pm,Philadelphia 76ers,96,Atlanta Hawks,117
"Sat, Nov 12, 2016",8:00 pm,Washington Wizards,95,Chicago Bulls,106
"Sat, Nov 12, 2016",9:00 pm,Detroit Pistons,106,Denver Nuggets,95
"Sat, Nov 12, 2016",8:00 pm,San Antonio Spurs,106,Houston Rockets,100
